Date,Time (UTC),Exchange,Symbol,Side,Quantity,Price,Total USD,Fee (est.),Net Amount,Order ID,Mode,Notes
2026-08-19,21:57:35,BitGet,BTCUSDT,BUY,1.282195,69764.03,89451.09044585,26.8353,89424.26,PAPER-1787176655898,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $99973.16"
2026-08-19,22:17:12,BitGet,BTCUSDT,SELL,1.282195,69374.07,89451.09044585,26.8353,89424.26,PAPER-STOP,PAPER,"Trailing stop hit — P&L $-500.00 total (-0.56%) | Portfolio: $99446.48"
2026-08-20,08:22:03,BitGet,BTCUSDT,BUY,1.58888,71150.00,113048.812,33.9146,113014.90,PAPER-1787214123434,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $99412.56"
2026-08-20,09:01:49,BitGet,BTCUSDT,SELL,1.1122159999999999,71634.99,79673.58203784,23.9021,79649.68,PAPER-1787216509344,PAPER,"Scale-out 70% @ 1R — P&L $539.41 | Portfolio: $99928.08"
2026-08-22,05:15:08,BitGet,BTCUSDT,SELL,0.4766640000000002,77703.73,33914.64360000002,10.1744,33904.47,PAPER-STOP,PAPER,"Trailing stop hit — P&L $3663.34 total (10.80%) | Portfolio: $103004.72"
2026-08-24,13:40:07,BitGet,BTCUSDT,BUY,1.189182,78594.98,93463.73550636,28.0391,93435.70,PAPER-1787578807906,PAPER,"NKB NKB Buy — bands flipped bullish | Portfolio: $102976.69"
2026-08-24,14:22:58,BitGet,BTCUSDT,SELL,0.8324273999999999,79346.43,66050.14242418199,19.8150,66030.33,PAPER-1787581378716,PAPER,"Scale-out 70% @ 1R — P&L $625.53 | Portfolio: $103582.40"
2026-08-25,07:55:33,BitGet,BTCUSDT,SELL,0.35675460000000003,80103.87,28039.120651908,8.4117,28030.71,PAPER-STOP,PAPER,"Trailing stop hit — P&L $1163.83 total (4.15%) | Portfolio: $104098.04"
