Timestamp,Open,High,Low,Close,Volume
2026-06-18T06:45:00.000Z,64118.01,64118.01,64086,64111.97,2.6160000000000005
2026-06-18T06:50:00.000Z,64111.97,64128.44,64060,64077.97,22.89899
2026-06-18T06:55:00.000Z,64077.98,64120.17,64065.86,64083.41,83.24954
2026-06-18T07:00:00.000Z,64084,64098.37,64061.41,64092.72,14.004149999999997
2026-06-18T07:05:00.000Z,64092.72,64100,64062,64078.72,20.3325
2026-06-18T07:10:00.000Z,64078.72,64105.57,64015.42,64091.2,74.80237
2026-06-18T07:15:00.000Z,64091.2,64199.97,64083.06,64178,60.74666
2026-06-18T07:20:00.000Z,64178,64252,64170.95,64251.98,35.48727
2026-06-18T07:25:00.000Z,64251.97,64319.15,64244.14,64304.59,66.19629
2026-06-18T07:30:00.000Z,64304.58,64304.59,64260.71,64296,51.58090000000001
2026-06-18T07:35:00.000Z,64296,64454.01,64296,64454,51.87651
2026-06-18T07:40:00.000Z,64454.01,64454.01,64413.94,64438.09,43.020920000000004
2026-06-18T07:45:00.000Z,64438.09,64499.15,64423.35,64480.77,41.10308
2026-06-18T07:50:00.000Z,64480.78,64480.78,64449.83,64463.84,34.4094
2026-06-18T07:55:00.000Z,64463.84,64510.5,64442.24,64510.44,31.29628
2026-06-18T08:00:00.000Z,64510.45,64517.03,64386.46,64402,164.60214000000002
2026-06-18T08:05:00.000Z,64402,64646.75,64399.94,64621.09,182.89586
2026-06-18T08:10:00.000Z,64621.1,64626,64503.2,64535.99,30.528760000000002
2026-06-18T08:15:00.000Z,64535.99,64607.38,64514,64587.99,42.00852
2026-06-18T08:20:00.000Z,64588,64605.51,64532,64570,25.00815
2026-06-18T08:25:00.000Z,64569.99,64588,64568.18,64578,17.01402
2026-06-18T08:30:00.000Z,64578.01,64605.4,64538,64549.48,78.88832000000001
2026-06-18T08:35:00.000Z,64549.49,64586,64524,64586,19.24041
2026-06-18T08:40:00.000Z,64586,64589.53,64517,64517.01,76.63884
2026-06-18T08:45:00.000Z,64517,64528,64469.24,64510,29.816889999999997
2026-06-18T08:50:00.000Z,64510,64510,64434,64446.1,18.48729
2026-06-18T08:55:00.000Z,64446.11,64448.86,64378.25,64399.92,29.07518
2026-06-18T09:00:00.000Z,64399.93,64411.61,64322,64374,61.59748
2026-06-18T09:05:00.000Z,64373.99,64377.86,64356.94,64364.68,10.912270000000001
2026-06-18T09:10:00.000Z,64364.68,64390.31,64309.16,64390.31,41.63028
2026-06-18T09:15:00.000Z,64390.31,64478,64390.3,64467.63,17.56678
2026-06-18T09:20:00.000Z,64467.64,64467.64,64422,64422,10.29034
2026-06-18T09:25:00.000Z,64422.01,64422.01,64245.59,64248.38,43.992540000000005
2026-06-18T09:30:00.000Z,64248.38,64303.8,64205.88,64298.68,48.68245
2026-06-18T09:35:00.000Z,64298.69,64298.69,64254.38,64292,20.28837
2026-06-18T09:40:00.000Z,64292,64307.99,64280,64282.66,8.13265
2026-06-18T09:45:00.000Z,64282.66,64325.65,64262,64266.65,14.40421
2026-06-18T09:50:00.000Z,64266.65,64278.81,64244.22,64257.56,10.30854
2026-06-18T09:55:00.000Z,64257.55,64257.55,64196.14,64199.53,12.51284
2026-06-18T10:00:00.000Z,64199.53,64199.53,64132.22,64179.94,26.186459999999997
2026-06-18T10:05:00.000Z,64179.94,64179.94,64044.74,64052,33.36849
2026-06-18T10:10:00.000Z,64052.01,64060.8,63991.18,64009.99,59.19203
2026-06-18T10:15:00.000Z,64009.99,64045.99,63946,63963.99,78.1674
2026-06-18T10:20:00.000Z,63963.99,64000,63910,63918,32.92339
2026-06-18T10:25:00.000Z,63918,63998,63917.99,63965.48,25.40005
2026-06-18T10:30:00.000Z,63965.47,64021.32,63951.39,64019.99,50.02122
2026-06-18T10:35:00.000Z,64020,64033.59,63964.76,64025.6,39.32989
2026-06-18T10:40:00.000Z,64025.61,64081.99,64000,64000.82,19.57723
2026-06-18T10:45:00.000Z,64000.81,64058,64000.81,64026,18.040899999999997
2026-06-18T10:50:00.000Z,64026,64223.79,64026,64161.04,44.67893
2026-06-18T10:55:00.000Z,64161.04,64161.04,64078.6,64078.61,18.68707
2026-06-18T11:00:00.000Z,64078.61,64196,64078.6,64154.01,17.236359999999998
2026-06-18T11:05:00.000Z,64154,64154.01,64057.18,64069.99,21.28583
2026-06-18T11:10:00.000Z,64069.99,64074,64004.01,64032.01,27.774639999999998
2026-06-18T11:15:00.000Z,64032.01,64052,63980.62,63980.62,17.75328
2026-06-18T11:20:00.000Z,63980.62,63981.68,63912.01,63926.42,49.80164
2026-06-18T11:25:00.000Z,63926.43,64084,63918.55,64069.99,36.85797
2026-06-18T11:30:00.000Z,64069.99,64089.66,64012,64050,20.37211
2026-06-18T11:35:00.000Z,64050.01,64067.99,63938.96,63971.23,33.56599
2026-06-18T11:40:00.000Z,63971.22,63971.23,63878.14,63970,75.31918
2026-06-18T11:45:00.000Z,63970,64036,63890,63890,31.638370000000002
2026-06-18T11:50:00.000Z,63890,63957.43,63890,63957.43,26.03275
2026-06-18T11:55:00.000Z,63957.43,63992.79,63946.68,63974.4,20.36661
2026-06-18T12:00:00.000Z,63974.4,64043.08,63949,63998.01,53.072469999999996
2026-06-18T12:05:00.000Z,63998.01,64010,63922,63974.81,35.86113999999999
2026-06-18T12:10:00.000Z,63974.81,64043.43,63974,64007.99,14.74698
2026-06-18T12:15:00.000Z,64007.98,64069.12,63992,64069.12,24.46342
2026-06-18T12:20:00.000Z,64069.12,64146.96,64061.99,64136.01,41.42328
2026-06-18T12:25:00.000Z,64136.01,64207.58,64136.01,64201.31,73.32558
2026-06-18T12:30:00.000Z,64201.32,64257.67,64130.73,64198.02,40.168350000000004
2026-06-18T12:35:00.000Z,64198.02,64245.51,64170,64170.01,35.87214
2026-06-18T12:40:00.000Z,64170,64263.48,64170,64257.19,13.49194
2026-06-18T12:45:00.000Z,64257.2,64352,64257.19,64351.99,28.67843
2026-06-18T12:50:00.000Z,64351.99,64351.99,64280,64340,28.255899999999997
2026-06-18T12:55:00.000Z,64340.01,64402.01,64340.01,64378.07,28.24515
2026-06-18T13:00:00.000Z,64378.06,64378.07,64288,64323.99,56.80452
2026-06-18T13:05:00.000Z,64323.99,64420.44,64323.98,64407.99,43.406479999999995
2026-06-18T13:10:00.000Z,64408,64445.19,64378.26,64395.44,33.060230000000004
2026-06-18T13:15:00.000Z,64395.43,64435.6,64342.01,64342.01,66.4522
2026-06-18T13:20:00.000Z,64342,64393.61,64332,64345.5,47.441770000000005
2026-06-18T13:25:00.000Z,64345.5,64438.67,64333.16,64363.39,90.18023
2026-06-18T13:30:00.000Z,64363.39,64386,64136,64136.01,172.00464
2026-06-18T13:35:00.000Z,64136.01,64142,64002.78,64044.02,93.22478000000001
2026-06-18T13:40:00.000Z,64044.01,64044.01,63876.01,63885.66,95.18981
2026-06-18T13:45:00.000Z,63885.67,64118,63800,64109.99,152.23636000000002
2026-06-18T13:50:00.000Z,64110,64145.61,64056,64102.78,56.97014
